SUBURB_NAME,LOCAL_GOVERNMENT_AREA,AVG_HEAT_CELSIUS,MIN_HEAT_CELSIUS,MAX_HEAT_CELSIUS,HEAT_STD_DEV,MESH_BLOCK_COUNT,AVG_VEGETATION_PCT,AVG_TREE_PCT,AVG_SHRUB_PCT,AVG_GRASS_PCT,AVG_SMALL_TREES_PCT,AVG_MEDIUM_TREES_PCT,AVG_LARGE_TREES_PCT,TOTAL_AREA_HECTARES,CENTROID_LONGITUDE,CENTROID_LATITUDE,SUBURB_HEAT_CATEGORY,HEAT_RANK,VEGETATION_RANK
Abbotsford,Yarra (C),7.88,4.43,12.05,1.35,110,19.99,11.79,4.06,4.14,7.4,3.19,1.2,174.05,145.0,-37.8,Moderate Heat,163,288
Airport West,Moonee Valley (C),9.9,7.93,11.61,0.61,126,24.64,7.19,5.92,11.54,5.48,1.18,0.52,371.88,144.88,-37.72,High Heat,51,256
Albert Park,Port Phillip (C),6.6,3.1,8.28,0.94,212,20.33,12.98,3.64,3.71,9.15,2.85,0.97,467.45,144.96,-37.85,Moderate Heat,219,285
Alphington - Fairfield,Darebin (C),7.79,5.37,9.61,0.82,132,30.28,14.8,7.13,8.35,11.19,2.9,0.7,288.48,145.02,-37.78,Moderate Heat,169,176
Altona,Hobsons Bay (C),7.41,-1.09,9.58,1.18,210,35.04,8.52,6.6,19.93,7.13,1.07,0.33,1768.32,144.82,-37.87,Moderate Heat,190,98
Altona Meadows,Hobsons Bay (C),9.42,4.03,11.14,1.19,224,36.04,6.02,7.18,22.83,5.27,0.66,0.1,1053.9,144.78,-37.88,High Heat,76,88
Altona North,Hobsons Bay (C),8.91,4.11,11.27,0.84,182,34.48,7.58,7.22,19.67,6.3,0.99,0.3,1618.3,144.85,-37.83,High Heat,106,105
Ardeer - Albion,Brimbank (C),10.48,8.71,12.62,0.67,101,32.74,8.38,6.65,17.7,6.94,1.11,0.33,458.79,144.81,-37.78,High Heat,34,132
Armadale,Stonnington (C),7.62,6.01,9.76,0.59,156,24.63,16.5,4.79,3.34,12.65,2.99,0.85,218.35,145.02,-37.86,Moderate Heat,180,257
Ascot Vale,Moonee Valley (C),9.36,5.28,11.86,0.78,182,26.76,10.95,6.7,9.12,9.39,1.2,0.36,383.57,144.92,-37.78,High Heat,80,227
Ashburton (Vic.),Boroondara (C),7.82,5.25,9.22,0.69,103,32.05,17.05,6.45,8.54,12.55,3.41,1.08,283.62,145.08,-37.87,Moderate Heat,167,148
Ashwood - Chadstone,Monash (C),8.41,5.59,10.05,0.67,227,28.44,13.02,6.56,8.86,10.14,2.11,0.77,670.83,145.1,-37.87,High Heat,131,203
Aspendale Gardens - Waterways,Kingston (C) (Vic.),9.73,3.99,11.36,1.22,91,38.85,8.46,8.26,22.12,7.55,0.84,0.08,530.73,145.12,-38.02,High Heat,61,58
Bacchus Marsh,Moorabool (S),9.6,4.95,12.94,2.65,10,38.39,5.95,5.3,27.12,4.57,1.01,0.36,1254.04,144.51,-37.68,High Heat,66,62
Balwyn,Boroondara (C),7.61,5.66,9.19,0.6,220,30.52,19.15,6.15,5.23,13.68,3.86,1.61,558.44,145.08,-37.81,Moderate Heat,181,170
Balwyn North,Boroondara (C),8.03,4.77,9.67,0.68,228,32.36,18.25,6.89,7.22,13.45,3.45,1.34,884.82,145.08,-37.79,High Heat,156,139
Bayswater,Knox (C),8.01,2.51,10.91,1.01,167,25.96,11.56,4.86,9.54,8.16,2.35,1.05,804.31,145.26,-37.85,High Heat,158,238
Bayswater North,Maroondah (C),7.01,3.45,10.95,1.11,156,37.24,18.78,5.79,12.67,11.22,4.9,2.67,990.79,145.29,-37.83,Moderate Heat,205,74
Beaconsfield - Officer,Cardinia (S),10.7,2.95,15.0,2.66,159,44.58,11.21,6.46,26.9,6.74,2.4,2.07,4117.85,145.4,-38.05,High Heat,31,37
Beaumaris,Bayside (C),6.61,1.89,9.34,1.49,169,34.43,18.99,7.95,7.5,14.14,3.41,1.45,596.78,145.04,-37.98,Moderate Heat,218,107
Belgrave - Selby,Cardinia (S),2.78,2.32,3.23,0.64,2,73.45,46.05,5.45,21.95,10.8,8.55,26.65,322.82,145.4,-37.93,Low Heat,251,3
Belgrave - Selby,Yarra Ranges (S),4.63,-1.94,9.84,1.83,127,65.57,45.52,6.12,13.93,12.99,8.58,23.94,5242.14,145.36,-37.92,Moderate Heat,241,8
Bentleigh - McKinnon,Glen Eira (C),8.73,6.58,11.77,0.55,281,25.32,10.43,6.89,8.0,9.39,0.88,0.16,622.33,145.04,-37.92,High Heat,116,248
Bentleigh East (North),Glen Eira (C),9.13,7.12,12.05,0.52,156,25.19,9.7,6.64,8.86,8.62,0.84,0.23,459.88,145.07,-37.91,High Heat,91,253
Bentleigh East (South),Glen Eira (C),9.06,5.99,9.95,0.53,139,28.72,10.75,7.24,10.72,9.19,1.21,0.35,458.81,145.06,-37.93,High Heat,96,200
Berwick - North,Casey (C),10.92,6.09,14.11,1.13,283,37.88,15.35,7.12,15.41,11.15,2.79,1.4,1974.8,145.34,-38.03,High Heat,23,67
Berwick - South,Casey (C),12.51,6.68,15.35,1.38,240,38.05,9.2,8.66,20.18,7.79,1.05,0.36,1485.56,145.34,-38.06,Extreme Heat,3,66
Blackburn,Whitehorse (C),7.63,3.77,11.42,1.09,280,32.26,20.6,5.85,5.82,12.37,4.96,3.27,860.72,145.15,-37.82,Moderate Heat,179,141
Blackburn South,Whitehorse (C),8.17,6.1,9.67,0.6,115,32.01,17.42,6.6,8.0,12.12,3.7,1.6,359.66,145.15,-37.84,High Heat,149,149
Boronia,Knox (C),7.16,1.75,10.09,1.09,283,33.06,18.17,5.8,9.1,11.09,4.31,2.77,1126.23,145.28,-37.86,Moderate Heat,199,125
Box Hill,Whitehorse (C),7.88,4.71,10.47,0.79,284,28.85,16.32,5.4,7.14,11.99,3.09,1.24,701.12,145.12,-37.83,Moderate Heat,163,199
Box Hill North,Whitehorse (C),8.19,6.1,9.47,0.55,201,32.47,17.86,6.85,7.76,13.36,3.29,1.2,620.81,145.12,-37.81,High Heat,147,137
Braeside,Kingston (C) (Vic.),9.31,6.67,11.51,1.4,34,26.52,6.02,2.39,18.1,3.6,1.73,0.69,908.18,145.11,-38.0,High Heat,82,232
Braybrook,Maribyrnong (C),9.93,4.71,11.72,1.05,219,30.53,8.11,6.66,15.76,6.93,0.91,0.26,748.34,144.86,-37.78,High Heat,49,169
Brighton (Vic.),Bayside (C),7.23,0.62,10.17,1.59,331,27.25,14.91,6.36,5.97,12.1,2.24,0.58,820.0,145.0,-37.91,Moderate Heat,197,222
Brighton East,Bayside (C),8.37,7.06,9.64,0.5,177,29.89,16.55,7.05,6.29,13.42,2.45,0.68,560.79,145.02,-37.92,High Heat,134,183
Broadmeadows,Hume (C),9.22,6.81,11.01,0.64,141,37.4,8.42,7.76,21.23,6.87,1.21,0.32,882.53,144.92,-37.68,High Heat,87,70
Brunswick,Moreland (C),8.95,4.87,11.82,0.81,363,18.77,8.26,5.68,4.83,7.08,0.9,0.28,514.2,144.96,-37.77,High Heat,104,291
Brunswick East,Moreland (C),8.69,6.46,10.08,0.72,147,25.58,10.77,6.36,8.44,8.35,1.68,0.73,216.78,144.98,-37.77,High Heat,118,241
Brunswick West,Moreland (C),9.11,7.82,11.25,0.58,206,29.5,11.86,7.61,10.02,9.76,1.68,0.43,317.92,144.94,-37.76,High Heat,93,188
Bulleen,Boroondara (C),8.36,7.77,8.92,0.52,5,17.5,13.8,1.62,2.08,4.06,3.38,6.34,9.94,145.09,-37.78,High Heat,135,292
Bulleen,Manningham (C),8.51,2.96,10.83,1.29,140,31.04,13.97,7.21,9.86,9.73,2.27,1.97,657.11,145.09,-37.77,High Heat,126,157
Bundoora - East,Banyule (C),9.22,7.43,10.55,0.54,104,29.17,11.14,7.55,10.48,8.59,1.75,0.8,400.11,145.07,-37.7,High Heat,87,193
Bundoora - East,Nillumbik (S),8.02,8.02,8.02,,1,25.2,14.0,3.5,7.8,6.2,5.5,2.2,7.31,145.07,-37.69,High Heat,157,252
Bundoora - North,Whittlesea (C),9.26,4.44,11.07,1.29,69,25.98,9.21,6.44,10.32,6.93,1.55,0.73,471.39,145.07,-37.68,High Heat,84,237
Bundoora - West,Whittlesea (C),8.96,6.46,10.4,0.7,88,33.49,10.34,7.96,15.18,7.81,1.87,0.66,255.97,145.05,-37.69,High Heat,103,118
Bunyip - Garfield,Cardinia (S),6.25,1.75,10.37,1.81,105,46.68,15.46,4.29,26.93,7.45,3.95,4.05,25712.93,145.67,-38.08,Moderate Heat,226,33
Burnside,Melton (C),11.35,8.95,12.68,0.82,48,25.3,5.39,6.5,13.4,5.17,0.19,0.03,255.15,144.75,-37.75,High Heat,14,250
Burnside Heights,Melton (C),11.72,9.12,12.66,0.82,46,21.96,4.75,5.47,11.74,4.26,0.46,0.02,199.49,144.76,-37.73,High Heat,6,277
Burwood,Whitehorse (C),8.11,4.47,9.88,0.79,142,27.44,14.02,6.17,7.26,10.7,2.28,1.04,503.88,145.11,-37.85,High Heat,152,217
Burwood East,Whitehorse (C),8.52,3.78,10.85,0.83,116,29.12,13.56,6.69,8.87,9.46,2.71,1.38,426.25,145.15,-37.85,High Heat,125,194
Cairnlea,Brimbank (C),11.57,8.21,12.56,0.87,102,27.36,7.48,5.6,14.29,5.53,1.32,0.62,440.55,144.79,-37.76,High Heat,9,219
Camberwell,Boroondara (C),7.47,6.03,9.98,0.63,275,32.01,19.64,6.25,6.12,14.03,4.27,1.34,729.13,145.07,-37.84,Moderate Heat,187,149
Campbellfield - Coolaroo,Hume (C),9.21,3.99,11.03,1.01,244,31.92,5.6,6.07,20.25,4.44,0.88,0.28,1818.4,144.95,-37.67,High Heat,88,151
Carlton,Melbourne (C),8.34,6.56,9.71,0.68,197,15.34,11.4,1.82,2.13,6.5,3.51,1.38,181.81,144.97,-37.8,High Heat,137,297
Carlton North - Princes Hill,Melbourne (C),7.02,5.32,9.16,1.96,3,60.8,19.4,4.03,37.37,10.2,6.73,2.43,91.3,144.96,-37.79,Moderate Heat,204,13
Carlton North - Princes Hill,Yarra (C),8.84,7.59,10.17,0.53,110,20.74,12.63,4.74,3.36,9.29,2.62,0.72,139.11,144.97,-37.79,High Heat,109,284
Carnegie,Glen Eira (C),8.53,6.42,10.2,0.68,223,24.46,11.42,6.37,6.65,10.09,1.08,0.25,380.43,145.06,-37.89,High Heat,124,261
Caroline Springs,Melton (C),9.45,5.25,12.09,1.4,195,24.47,6.71,5.99,11.76,6.26,0.41,0.04,695.15,144.74,-37.74,High Heat,75,260
Carrum - Patterson Lakes,Kingston (C) (Vic.),7.5,1.07,10.76,2.0,210,29.72,7.87,6.71,15.14,6.85,0.86,0.15,582.45,145.14,-38.07,Moderate Heat,186,185
Carrum Downs,Frankston (C),9.49,2.05,11.41,1.28,258,38.91,9.44,7.48,21.99,7.42,1.49,0.53,2030.9,145.18,-38.1,High Heat,72,57
Caulfield - North,Glen Eira (C),8.16,5.76,9.75,0.58,256,26.76,15.61,5.91,5.25,12.75,2.21,0.64,641.84,145.02,-37.87,High Heat,150,227
Caulfield - South,Glen Eira (C),8.73,7.45,10.44,0.43,215,25.53,12.81,6.47,6.25,11.14,1.34,0.34,474.24,145.03,-37.89,High Heat,116,242
Chelsea - Bonbeach,Kingston (C) (Vic.),8.64,2.28,11.73,2.18,241,32.11,7.06,8.91,16.15,6.33,0.61,0.1,542.32,145.12,-38.06,High Heat,120,146
Chelsea Heights,Kingston (C) (Vic.),9.84,4.46,11.52,1.22,65,42.94,10.83,8.56,23.55,9.13,1.42,0.29,319.59,145.13,-38.04,High Heat,56,43
Cheltenham - Highett (East),Kingston (C) (Vic.),10.05,7.63,13.99,0.8,308,23.82,9.64,6.1,8.08,7.93,1.26,0.45,873.77,145.06,-37.96,High Heat,46,267
Cheltenham - Highett (West),Bayside (C),8.35,5.43,9.91,0.82,151,29.21,13.69,6.71,8.82,10.75,2.18,0.76,531.95,145.04,-37.95,High Heat,136,192
Chirnside Park,Yarra Ranges (S),7.24,3.35,11.2,1.12,107,43.0,14.21,8.49,20.3,10.69,2.23,1.28,2219.95,145.32,-37.75,Moderate Heat,196,41
Clarinda - Oakleigh South,Kingston (C) (Vic.),9.92,6.72,11.8,0.66,129,32.67,8.35,8.02,16.3,7.02,0.95,0.38,632.23,145.1,-37.94,High Heat,50,133
Clayton,Monash (C),9.0,4.88,10.87,0.72,233,25.52,9.66,5.85,10.01,8.02,1.25,0.37,941.08,145.13,-37.92,High Heat,100,243
Clayton South,Kingston (C) (Vic.),9.71,5.84,11.91,0.82,160,29.97,7.13,6.99,15.85,6.07,0.73,0.34,793.75,145.13,-37.94,High Heat,62,181
Coburg,Moreland (C),9.12,5.95,11.53,0.8,326,27.07,9.93,7.01,10.12,7.96,1.55,0.41,693.32,144.96,-37.75,High Heat,92,225
Coburg North,Moreland (C),9.08,5.83,11.35,0.96,153,28.35,9.88,6.31,12.15,7.05,2.04,0.79,487.73,144.97,-37.73,High Heat,95,204
Collingwood,Yarra (C),8.72,6.88,9.81,0.62,123,11.48,7.64,2.37,1.47,5.16,1.72,0.77,126.69,144.99,-37.8,High Heat,117,301
Craigieburn - Central,Hume (C),8.47,7.55,9.68,0.44,74,27.29,7.65,6.5,13.15,6.62,0.8,0.23,396.8,144.93,-37.59,High Heat,128,221
