SUBURB_NAME,LOCAL_GOVERNMENT_AREA,AVG_HEAT_CELSIUS,MIN_HEAT_CELSIUS,MAX_HEAT_CELSIUS,HEAT_STD_DEV,MESH_BLOCK_COUNT,AVG_VEGETATION_PCT,AVG_TREE_PCT,AVG_SHRUB_PCT,AVG_GRASS_PCT,AVG_SMALL_TREES_PCT,AVG_MEDIUM_TREES_PCT,AVG_LARGE_TREES_PCT,TOTAL_AREA_HECTARES,CENTROID_LONGITUDE,CENTROID_LATITUDE,SUBURB_HEAT_CATEGORY,HEAT_RANK,VEGETATION_RANK
Keilor Downs,Brimbank (C),10.81,9.4,12.87,0.51,156,31.03,7.53,7.56,15.96,6.02,1.19,0.32,765.9,144.81,-37.72,High Heat,27,158
Keilor East,Moonee Valley (C),10.1,6.07,12.58,0.78,316,32.61,8.11,7.85,16.65,6.5,1.11,0.5,1089.02,144.86,-37.75,High Heat,42,134
Kensington (Vic.),Melbourne (C),9.1,6.66,11.3,0.92,158,24.95,14.8,4.8,5.35,11.53,2.71,0.57,213.61,144.93,-37.79,High Heat,94,254
Kensington (Vic.),Moonee Valley (C),9.04,8.95,9.14,0.13,2,9.3,7.85,1.0,0.45,3.7,3.7,0.5,1.06,144.93,-37.79,High Heat,97,305
Kew,Boroondara (C),7.54,3.54,9.45,0.92,342,33.29,19.38,6.85,7.06,13.73,4.03,1.62,1053.26,145.04,-37.8,Moderate Heat,183,120
Kew East,Boroondara (C),7.64,3.02,9.49,1.11,97,36.88,20.34,7.02,9.51,13.49,4.19,2.67,401.5,145.05,-37.79,Moderate Heat,178,80
Keysborough,Greater Dandenong (C),9.97,5.62,12.37,0.97,287,35.61,6.83,6.89,21.89,5.49,0.96,0.38,3027.96,145.17,-38.0,High Heat,48,92
Kilsyth,Yarra Ranges (S),6.67,3.34,9.23,0.85,105,40.31,19.37,6.54,14.4,11.14,4.85,3.38,824.15,145.32,-37.81,Moderate Heat,216,51
Kinglake,Murrindindi (S),0.03,-2.55,2.21,1.23,22,66.68,27.9,6.81,31.95,9.26,4.25,14.4,935.27,145.33,-37.53,Low Heat,255,6
Kings Park (Vic.),Brimbank (C),10.97,9.07,13.46,0.62,144,27.47,5.5,6.78,15.2,4.59,0.7,0.21,443.21,144.77,-37.74,High Heat,20,215
Kingsbury,Darebin (C),8.75,5.3,10.02,0.79,96,35.19,14.21,7.36,13.62,9.41,2.92,1.88,900.8,145.05,-37.71,High Heat,114,96
Knoxfield - Scoresby,Knox (C),7.88,1.07,11.04,1.41,177,28.89,12.32,5.11,11.46,8.49,2.72,1.11,1526.42,145.24,-37.89,Moderate Heat,163,198
Koo Wee Rup,Cardinia (S),10.27,8.25,16.89,1.6,54,30.29,6.52,4.68,19.1,4.84,1.1,0.58,11189.97,145.48,-38.19,High Heat,38,175
Lalor,Whittlesea (C),9.38,7.32,11.15,0.68,253,30.57,5.27,7.25,18.05,4.7,0.46,0.11,1205.76,145.01,-37.67,High Heat,78,168
Langwarrin,Frankston (C),8.02,3.29,10.61,1.45,281,41.69,18.14,8.71,14.83,13.42,3.66,1.06,3762.35,145.19,-38.15,High Heat,157,46
Laverton,Hobsons Bay (C),9.66,8.64,10.87,0.46,56,34.54,8.72,6.75,19.07,7.18,1.21,0.33,202.44,144.77,-37.86,High Heat,63,104
Laverton,Wyndham (C),10.86,7.53,12.3,0.97,84,21.74,2.66,3.86,15.22,2.27,0.28,0.11,2021.83,144.77,-37.85,High Heat,26,279
Lilydale - Coldstream,Yarra Ranges (S),6.96,1.64,10.65,1.49,222,45.05,18.46,7.52,19.07,10.93,4.23,3.3,10936.51,145.36,-37.75,Moderate Heat,207,35
Lynbrook - Lyndhurst,Casey (C),10.22,6.23,11.96,1.13,120,32.77,6.31,6.44,20.02,5.05,0.89,0.37,735.85,145.25,-38.06,High Heat,41,130
Lysterfield,Knox (C),7.28,2.85,8.34,1.08,57,47.46,16.49,9.1,21.86,12.42,2.86,1.21,1410.32,145.28,-37.92,Moderate Heat,194,32
Lysterfield,Yarra Ranges (S),3.64,3.64,3.64,,1,94.1,5.5,2.1,86.5,2.8,1.6,1.0,439.02,145.31,-37.92,Low Heat,248,1
Malvern - Glen Iris,Stonnington (C),7.83,4.87,9.58,0.68,319,27.97,17.42,5.75,4.8,12.88,3.4,1.14,615.48,145.04,-37.86,Moderate Heat,166,210
Malvern East,Stonnington (C),7.88,5.47,10.02,0.73,290,30.88,17.52,6.33,7.02,12.73,3.7,1.09,756.68,145.06,-37.88,Moderate Heat,163,161
Maribyrnong,Maribyrnong (C),10.07,4.47,13.23,1.26,147,30.36,9.43,6.7,14.23,7.98,1.07,0.37,549.27,144.89,-37.78,High Heat,44,173
Meadow Heights,Hume (C),9.6,7.65,10.93,0.45,135,39.92,6.83,7.8,25.28,5.74,0.95,0.14,462.41,144.92,-37.65,High Heat,66,53
Melbourne,Melbourne (C),7.26,2.85,11.5,1.44,265,6.92,5.9,0.44,0.58,1.99,1.72,2.18,236.89,144.96,-37.81,Moderate Heat,195,306
Melbourne Airport,Hume (C),10.78,10.18,11.99,0.78,5,37.24,4.0,2.38,30.88,2.34,1.08,0.56,3037.98,144.84,-37.68,High Heat,29,74
Melton,Melton (C),10.9,4.26,13.62,1.11,251,27.15,7.92,4.6,14.62,5.83,1.43,0.66,13068.12,144.59,-37.67,High Heat,25,224
Melton South,Melton (C),10.96,0.8,13.49,1.6,273,23.65,5.42,4.45,13.77,4.34,0.8,0.28,8398.99,144.56,-37.71,High Heat,21,270
Melton West,Melton (C),11.45,9.14,14.52,0.97,192,24.43,4.88,5.01,14.54,4.13,0.58,0.16,2419.73,144.56,-37.67,High Heat,11,262
Mentone,Kingston (C) (Vic.),8.77,2.94,10.96,1.5,205,24.1,10.43,6.41,7.25,8.87,1.23,0.34,445.0,145.07,-37.98,High Heat,112,264
Mernda,Whittlesea (C),10.32,5.35,12.16,1.29,178,27.79,6.29,5.12,16.38,4.42,1.18,0.68,2381.87,145.09,-37.6,High Heat,36,212
Mickleham - Yuroke,Hume (C),8.51,7.29,9.68,0.6,22,26.69,6.11,3.35,17.25,4.1,1.55,0.44,7061.78,144.9,-37.56,High Heat,126,229
Mill Park - North,Whittlesea (C),9.01,4.78,10.41,0.61,187,28.08,9.35,6.66,12.07,7.19,1.57,0.57,813.44,145.06,-37.66,High Heat,99,209
Mill Park - South,Whittlesea (C),9.25,5.97,10.01,0.54,129,32.47,9.91,6.71,15.85,7.44,1.75,0.72,492.91,145.06,-37.67,High Heat,85,137
Mitcham (Vic.),Whitehorse (C),7.72,3.7,12.11,1.21,214,32.84,20.19,6.47,6.19,12.93,4.54,2.71,662.62,145.2,-37.82,Moderate Heat,174,129
Monbulk - Silvan,Yarra Ranges (S),5.16,1.71,10.83,1.6,69,56.46,31.7,5.98,18.78,9.97,5.88,15.84,6855.02,145.43,-37.87,Moderate Heat,235,20
Montmorency - Briar Hill,Banyule (C),7.86,5.03,9.67,0.77,201,37.57,25.25,6.16,6.16,12.84,7.39,5.03,1202.65,145.12,-37.72,Moderate Heat,164,69
Montrose,Yarra Ranges (S),4.42,1.62,7.1,1.37,80,58.41,38.2,7.5,12.7,14.78,9.16,14.26,1054.24,145.35,-37.81,Moderate Heat,245,16
Moonee Ponds,Moonee Valley (C),9.5,7.0,10.91,0.57,198,23.43,9.75,6.38,7.32,8.52,0.99,0.23,435.46,144.92,-37.77,High Heat,71,272
Moorabbin - Heatherton,Kingston (C) (Vic.),9.47,5.85,11.95,0.94,155,26.03,9.05,5.48,11.51,7.29,1.3,0.45,1169.95,145.06,-37.94,High Heat,73,236
Moorabbin Airport,Kingston (C) (Vic.),11.3,11.16,11.45,0.21,2,31.1,2.55,1.65,26.9,1.95,0.45,0.2,307.55,145.09,-37.98,High Heat,15,156
Mooroolbark,Yarra Ranges (S),7.0,2.81,10.75,1.09,240,40.35,18.61,7.07,14.67,12.02,4.06,2.54,1254.22,145.32,-37.78,Moderate Heat,206,50
Mordialloc - Parkdale,Kingston (C) (Vic.),8.72,2.66,11.92,1.55,296,26.55,10.05,6.85,9.66,8.56,1.16,0.33,796.81,145.09,-38.0,High Heat,117,231
Mornington,Mornington Peninsula (S),7.24,0.04,9.56,1.73,395,28.17,12.59,7.26,8.31,9.76,1.86,0.97,2109.66,145.05,-38.23,Moderate Heat,196,208
Mount Dandenong - Olinda,Yarra Ranges (S),1.02,-2.58,4.72,1.48,143,68.07,51.43,5.73,10.93,12.23,7.29,31.9,8189.34,145.37,-37.86,Low Heat,253,5
Mount Eliza,Mornington Peninsula (S),5.82,0.1,9.61,1.78,245,48.14,22.69,10.8,14.65,16.71,3.99,1.99,2321.05,145.09,-38.19,Moderate Heat,231,31
Mount Evelyn,Yarra Ranges (S),5.11,0.55,9.88,1.53,111,53.98,37.42,5.63,10.93,11.85,7.64,17.93,1698.74,145.38,-37.79,Moderate Heat,237,25
Mount Martha,Mornington Peninsula (S),5.13,-2.14,10.78,2.8,304,50.1,20.02,12.47,17.61,15.66,2.84,1.52,3021.59,145.02,-38.27,Moderate Heat,236,29
