suburb_id,suburb_name,council,latitude,longitude,heat_intensity,heat_category,heat_rank,vegetation_total,vegetation_rank,tree_coverage,area_hectares
west_footscray___tottenham,West Footscray - Tottenham,Maribyrnong (C),-37.8,144.87,9.66,High Heat,63,27.5,214,8.7,598.01
west_melbourne,West Melbourne,Melbourne (C),-37.81,144.92,7.24,Moderate Heat,196,5.5,307,2.1,619.86
wheelers_hill,Wheelers Hill,Monash (C),-37.91,145.18,8.25,High Heat,142,36.8,82,15.9,1043.86
whittlesea,Whittlesea,Whittlesea (C),-37.51,145.11,7.93,Moderate Heat,160,38.6,60,12.6,22016.33
williamstown,Williamstown,Hobsons Bay (C),-37.86,144.89,6.16,Moderate Heat,227,32.3,140,9.9,734.6
wollert,Wollert,Whittlesea (C),-37.61,145.02,10.0,High Heat,47,16.2,295,1.9,5388.11
wyndham_vale,Wyndham Vale,Wyndham (C),-37.88,144.61,8.94,High Heat,105,23.9,266,4.9,7113.1
yarra___north,Yarra - North,Yarra (C),-37.79,145.01,7.81,Moderate Heat,168,31.9,152,16.3,520.84
yarra_valley,Yarra Valley,Yarra Ranges (S),-37.78,145.63,3.6,Low Heat,249,61.1,12,35.0,33380.98
yarraville,Yarraville,Maribyrnong (C),-37.82,144.88,8.4,High Heat,132,30.2,177,10.8,561.93
